,patient_id,name,age,sex,target,chol,smoke,cp,trestbps,restecg,oldpeak,slope
Patient_identfication_number,1,0,0,0,0,0,0,0,0,0,0,0
First_Last_Names,0,1,0,0,0,0,0,0,0,0,0,0
Age,0,0,1,0,0,0,0,0,0,0,0,0
Patient_gender,0,0,0,1,0,0,0,0,0,0,0,0
diabetes,0,0,0,0,0,0,0,0,0,0,0,0
heart_disease_status,0,0,0,0,1,0,0,0,0,0,0,0
Systolic_BP,0,0,0,0,0,0,0,0,0,0,0,0
Diaolistic_BP,0,0,0,0,0,0,0,0,0,0,0,0
bmi,0,0,0,0,0,0,0,0,0,0,0,0
cholesterol,0,0,0,0,0,1,0,0,0,0,0,0
smoker,0,0,0,0,0,0,1,0,0,0,0,0
medications,0,0,0,0,0,0,0,0,0,0,0,0
